identifier,category,timestamp,x,y
1.0,2.0,1683896492.575751,1122,320
1.0,2.0,1683896492.7678118,1109,315
1.0,2.0,1683896492.9598727,1095,311
1.0,2.0,1683896493.1519334,1082,306
1.0,2.0,1683896493.3439941,1070,302
1.0,2.0,1683896493.536055,1058,298
1.0,2.0,1683896493.7281158,1048,295
1.0,2.0,1683896493.9201765,1034,291
1.0,2.0,1683896494.1122375,1022,289
1.0,2.0,1683896494.3042982,1014,287
1.0,2.0,1683896494.4963589,1001,284
1.0,2.0,1683896494.6884198,995,283
1.0,2.0,1683896494.8804805,985,281
1.0,2.0,1683896495.0725415,977,279
1.0,2.0,1683896495.2646022,974,279
1.0,2.0,1683896495.456663,968,277
1.0,2.0,1683896495.6487238,963,276
1.0,2.0,1683896495.8407845,953,273
1.0,2.0,1683896496.0328453,946,271
1.0,2.0,1683896496.2249062,940,269
2.0,2.0,1683896492.5654697,991,318
2.0,2.0,1683896492.8081715,985,315
2.0,2.0,1683896493.050873,972,312
2.0,2.0,1683896493.2935748,959,307
2.0,2.0,1683896493.5362766,950,303
2.0,2.0,1683896493.7789783,941,300
2.0,2.0,1683896494.0216799,932,297
2.0,2.0,1683896494.2643816,922,296
2.0,2.0,1683896494.5070834,913,294
2.0,2.0,1683896494.749785,905,292
2.0,2.0,1683896494.9924867,896,289
2.0,2.0,1683896495.2351885,888,287
2.0,2.0,1683896495.47789,880,282
2.0,2.0,1683896495.7205918,877,282
2.0,2.0,1683896495.9632936,866,281
2.0,2.0,1683896496.205995,858,279
2.0,2.0,1683896496.4486969,850,278
2.0,2.0,1683896496.6913986,843,276
2.0,2.0,1683896496.9341004,839,274
2.0,2.0,1683896497.176802,841,274
3.0,2.0,1683896492.5603404,1005,288
3.0,2.0,1683896492.731112,994,286
3.0,2.0,1683896492.9018836,984,284
3.0,2.0,1683896493.0726552,971,282
3.0,2.0,1683896493.2434268,964,280
3.0,2.0,1683896493.4141984,958,279
3.0,2.0,1683896493.5849698,953,277
3.0,2.0,1683896493.7557414,947,275
3.0,2.0,1683896493.926513,929,274
3.0,2.0,1683896494.0972846,922,272
3.0,2.0,1683896494.2680562,901,269
4.0,2.0,1683896492.5553393,918,295
4.0,2.0,1683896492.7090726,911,293
4.0,2.0,1683896492.8628058,902,292
4.0,2.0,1683896493.016539,893,290
4.0,2.0,1683896493.1702726,886,286
4.0,2.0,1683896493.3240058,872,281
4.0,2.0,1683896493.477739,869,282
4.0,2.0,1683896493.6314723,866,282
4.0,2.0,1683896493.7852056,859,280
4.0,2.0,1683896493.9389389,852,278
4.0,2.0,1683896494.092672,845,277
4.0,2.0,1683896494.2464056,842,275
4.0,2.0,1683896494.4001389,840,274
4.0,2.0,1683896494.553872,837,273
6.0,2.0,1683896492.5444458,562,447
6.0,2.0,1683896492.67758,539,448
6.0,2.0,1683896492.8107147,512,450
6.0,2.0,1683896492.943849,491,452
6.0,2.0,1683896493.0769835,477,453
6.0,2.0,1683896493.210118,464,453
7.0,3.0,1683896492.538445,889,385
7.0,3.0,1683896492.6858523,929,407
7.0,3.0,1683896492.8332598,970,435
7.0,3.0,1683896492.980667,1032,481
7.0,3.0,1683896493.1280744,1097,522
7.0,3.0,1683896493.2754817,1177,584
