identifier,category,timestamp,x,y
1.0,2.0,1682594178.3712432,1209,626
1.0,2.0,1682594178.505813,1202,610
1.0,2.0,1682594178.6403823,1194,598
1.0,2.0,1682594178.774952,1187,592
1.0,2.0,1682594178.9095216,1180,586
1.0,2.0,1682594179.044091,1171,582
1.0,2.0,1682594179.1786606,1165,577
1.0,2.0,1682594179.3132303,1160,571
1.0,2.0,1682594179.4477997,1153,569
1.0,2.0,1682594179.5823693,1147,565
1.0,2.0,1682594179.716939,1140,561
1.0,2.0,1682594179.8515086,1135,559
1.0,2.0,1682594179.986078,1128,551
1.0,2.0,1682594180.1206477,1124,544
1.0,2.0,1682594180.2552173,1118,537
1.0,2.0,1682594180.3897867,1112,526
1.0,2.0,1682594180.5243564,1108,516
1.0,2.0,1682594180.658926,1104,507
1.0,2.0,1682594180.7934954,1100,499
1.0,2.0,1682594180.928065,1095,490
1.0,2.0,1682594181.0626347,1082,482
1.0,2.0,1682594181.197204,1068,472
1.0,2.0,1682594181.3317738,1054,465
1.0,2.0,1682594181.4663434,1044,459
1.0,2.0,1682594181.6009128,1033,452
1.0,2.0,1682594181.7354825,1023,442
1.0,2.0,1682594181.870052,1011,437
1.0,2.0,1682594182.0046215,1003,431
1.0,2.0,1682594182.1391912,992,421
1.0,2.0,1682594182.2737608,982,417
1.0,2.0,1682594182.4083304,975,407
1.0,2.0,1682594182.5428998,965,395
1.0,2.0,1682594182.6774695,959,391
1.0,2.0,1682594182.8120391,951,387
1.0,2.0,1682594182.9466085,940,383
1.0,2.0,1682594183.0811782,933,378
1.0,2.0,1682594183.2157478,926,372
1.0,2.0,1682594183.3503172,918,367
1.0,2.0,1682594183.484887,913,363
1.0,2.0,1682594183.6194565,906,359
1.0,2.0,1682594183.754026,900,354
1.0,2.0,1682594183.8885956,892,351
1.0,2.0,1682594184.0231652,886,346
1.0,2.0,1682594184.1577346,879,340
1.0,2.0,1682594184.2923043,873,335
1.0,2.0,1682594184.426874,869,330
1.0,2.0,1682594184.5614433,863,326
1.0,2.0,1682594184.696013,857,322
1.0,2.0,1682594184.8305826,852,319
1.0,2.0,1682594184.9651523,845,314
1.0,2.0,1682594185.0997217,841,310
1.0,2.0,1682594185.2342913,835,305
1.0,2.0,1682594185.368861,831,304
1.0,2.0,1682594185.5034304,826,299
1.0,2.0,1682594185.638,822,296
1.0,2.0,1682594185.7725697,816,291
1.0,2.0,1682594185.907139,812,288
1.0,2.0,1682594186.0417087,806,285
1.0,2.0,1682594186.1762784,802,281
1.0,2.0,1682594186.3108478,798,278
1.0,2.0,1682594186.4454174,794,276
1.0,2.0,1682594186.579987,790,272
1.0,2.0,1682594186.7145565,785,271
1.0,2.0,1682594186.849126,783,268
1.0,2.0,1682594186.9836957,778,263
1.0,2.0,1682594187.1182652,775,262
1.0,2.0,1682594187.2528348,772,258
1.0,2.0,1682594187.3874044,768,255
1.0,2.0,1682594187.521974,766,254
1.0,2.0,1682594187.6565435,764,253
1.0,2.0,1682594187.7911131,761,250
1.0,2.0,1682594187.9256828,747,238
1.0,2.0,1682594188.0602522,745,237
1.0,2.0,1682594188.1948218,743,234
1.0,2.0,1682594188.3293915,740,232
1.0,2.0,1682594188.463961,738,229
1.0,2.0,1682594188.5985305,735,227
1.0,2.0,1682594188.7331002,733,225
1.0,2.0,1682594188.8676696,731,223
1.0,2.0,1682594189.0022392,729,222
1.0,2.0,1682594189.1368089,727,221
1.0,2.0,1682594189.2713783,726,219
1.0,2.0,1682594189.405948,723,218
1.0,2.0,1682594189.5405176,721,216
1.0,2.0,1682594189.675087,712,207
1.0,2.0,1682594189.8096566,710,206
1.0,2.0,1682594189.9442263,708,204
1.0,2.0,1682594190.078796,707,203
1.0,2.0,1682594190.2133653,705,202
1.0,2.0,1682594190.347935,702,201
1.0,2.0,1682594190.4825046,701,199
1.0,2.0,1682594190.617074,698,198
1.0,2.0,1682594190.7516437,696,196
1.0,2.0,1682594190.8862133,693,195
1.0,2.0,1682594191.0207827,692,195
1.0,2.0,1682594191.1553524,690,192
1.0,2.0,1682594191.289922,687,191
1.0,2.0,1682594191.4244914,685,190
1.0,2.0,1682594191.559061,683,189
1.0,2.0,1682594191.6936307,680,188
1.0,2.0,1682594191.8282,679,187
1.0,2.0,1682594191.9627697,676,187
1.0,2.0,1682594192.0973394,674,186
1.0,2.0,1682594192.231909,672,185
1.0,2.0,1682594192.3664784,669,184
1.0,2.0,1682594192.501048,667,182
1.0,2.0,1682594192.6356177,666,181
1.0,2.0,1682594192.7701871,663,179
1.0,2.0,1682594192.9047568,661,179
1.0,2.0,1682594193.0393264,658,178
1.0,2.0,1682594193.1738958,656,177
1.0,2.0,1682594193.3084655,655,176
1.0,2.0,1682594193.4430351,652,175
1.0,2.0,1682594193.5776045,651,175
1.0,2.0,1682594193.7121742,647,173
1.0,2.0,1682594193.8467438,645,173
1.0,2.0,1682594193.9813132,643,170
1.0,2.0,1682594194.1158829,641,170
1.0,2.0,1682594194.2504525,640,169
1.0,2.0,1682594194.385022,637,169
1.0,2.0,1682594194.5195916,635,168
1.0,2.0,1682594194.6541612,633,167
1.0,2.0,1682594194.7887309,631,166
1.0,2.0,1682594194.9233003,630,165
1.0,2.0,1682594195.05787,628,165
1.0,2.0,1682594195.1924396,625,164
1.0,2.0,1682594195.327009,624,164
1.0,2.0,1682594195.4615786,622,163
1.0,2.0,1682594195.5961483,620,163
1.0,2.0,1682594195.7307177,618,163
1.0,2.0,1682594195.8652873,615,162
1.0,2.0,1682594195.999857,614,160
1.0,2.0,1682594196.1344264,612,160
1.0,2.0,1682594196.268996,610,160
1.0,2.0,1682594196.4035656,609,159
1.0,2.0,1682594196.538135,607,159
1.0,2.0,1682594196.6727047,606,159
1.0,2.0,1682594196.8072743,603,159
1.0,2.0,1682594196.9418437,601,158
1.0,2.0,1682594197.0764134,599,158
1.0,2.0,1682594197.210983,596,157
1.0,2.0,1682594197.3455527,595,157
1.0,2.0,1682594197.480122,594,156
1.0,2.0,1682594197.6146917,592,156
1.0,2.0,1682594197.7492614,589,156
1.0,2.0,1682594197.8838308,587,156
1.0,2.0,1682594198.0184004,585,155
1.0,2.0,1682594198.15297,583,155
1.0,2.0,1682594198.2875395,583,155
1.0,2.0,1682594198.4221091,579,155
1.0,2.0,1682594198.5566788,576,156
1.0,2.0,1682594198.6912482,575,156
1.0,2.0,1682594198.8258178,573,154
1.0,2.0,1682594198.9603875,572,154
1.0,2.0,1682594199.0949569,570,153
1.0,2.0,1682594199.2295265,568,153
1.0,2.0,1682594199.3640962,565,153
1.0,2.0,1682594199.4986656,563,153
1.0,2.0,1682594199.6332352,561,153
1.0,2.0,1682594199.7678049,559,152
1.0,2.0,1682594199.9023745,558,152
1.0,2.0,1682594200.036944,555,151
1.0,2.0,1682594200.1715136,553,151
1.0,2.0,1682594200.3060832,550,152
1.0,2.0,1682594200.4406526,548,151
