identifier,category,timestamp,x,y
2.0,2.0,1682594198.9474385,857,640
2.0,2.0,1682594199.076675,850,669
2.0,2.0,1682594199.2059114,834,682
3.0,5.0,1682594199.7476773,721,181
3.0,5.0,1682594199.8127654,719,180
3.0,5.0,1682594199.8778536,716,180
1.0,2.0,1682594192.9478161,541,151
1.0,2.0,1682594193.1398308,538,151
1.0,2.0,1682594193.3318455,535,150
1.0,2.0,1682594193.5238602,523,150
1.0,2.0,1682594193.715875,518,148
6.0,3.0,1682594192.5314825,1078,519
6.0,3.0,1682594192.5865788,1066,509
5.0,0.0,1682594195.6621587,748,300
5.0,0.0,1682594195.802241,739,293
5.0,0.0,1682594195.9423232,734,291
5.0,0.0,1682594196.0824056,720,291
5.0,0.0,1682594196.222488,713,288
5.0,0.0,1682594196.3625703,707,287
5.0,0.0,1682594196.5026526,699,288
5.0,0.0,1682594196.6427348,685,278
5.0,0.0,1682594196.7828171,680,270
5.0,0.0,1682594196.9228995,675,271
5.0,0.0,1682594197.0629816,667,261
5.0,0.0,1682594197.203064,645,251
5.0,0.0,1682594197.3431463,642,246
5.0,0.0,1682594197.4832287,637,243
5.0,0.0,1682594197.623311,634,243
5.0,0.0,1682594197.7633932,632,239
5.0,0.0,1682594197.9034755,628,237
5.0,0.0,1682594198.043558,626,233
5.0,0.0,1682594198.18364,622,234
5.0,0.0,1682594198.3237224,617,228
5.0,0.0,1682594198.4638047,613,226
5.0,0.0,1682594198.603887,609,225
5.0,0.0,1682594198.7439694,606,213
5.0,0.0,1682594198.8840516,603,215
5.0,0.0,1682594199.024134,602,210
5.0,0.0,1682594199.1642163,601,212
5.0,0.0,1682594199.3042984,598,209
5.0,0.0,1682594199.4443808,595,208
5.0,0.0,1682594199.5844631,593,205
5.0,0.0,1682594199.7245455,589,204
5.0,0.0,1682594199.8646278,590,202
5.0,0.0,1682594200.00471,589,200
12.0,2.0,1682594201.0253158,495,160
12.0,2.0,1682594201.268349,502,164
12.0,2.0,1682594201.511382,505,164
12.0,2.0,1682594201.7544155,506,166
12.0,2.0,1682594201.9974487,511,169
12.0,2.0,1682594202.2404819,514,170
12.0,2.0,1682594202.483515,516,172
12.0,2.0,1682594202.7265484,518,172
12.0,2.0,1682594202.9695816,520,174
12.0,2.0,1682594203.2126148,522,175
12.0,2.0,1682594203.455648,524,177
12.0,2.0,1682594203.6986814,526,177
12.0,2.0,1682594203.9417145,530,178
12.0,2.0,1682594204.1847477,532,179
12.0,2.0,1682594204.4277809,534,183
12.0,2.0,1682594204.6708143,536,184
12.0,2.0,1682594204.9138474,539,187
12.0,2.0,1682594205.1568806,544,189
12.0,2.0,1682594205.3999138,546,191
12.0,2.0,1682594205.6429472,548,191
12.0,2.0,1682594205.8859804,552,193
12.0,2.0,1682594206.1290135,553,196
12.0,2.0,1682594206.3720467,557,197
12.0,2.0,1682594206.61508,558,199
12.0,2.0,1682594206.8581133,563,199
12.0,2.0,1682594207.1011465,563,201
12.0,2.0,1682594207.3441796,566,202
12.0,2.0,1682594207.587213,568,205
12.0,2.0,1682594207.8302462,571,206
12.0,2.0,1682594208.0732794,572,209
12.0,2.0,1682594208.3163126,575,210
12.0,2.0,1682594208.559346,579,215
12.0,2.0,1682594208.8023791,582,216
12.0,2.0,1682594209.0454123,587,220
12.0,2.0,1682594209.2884455,589,223
12.0,2.0,1682594209.531479,591,224
12.0,2.0,1682594209.774512,597,231
12.0,2.0,1682594210.0175452,598,233
12.0,2.0,1682594210.2605784,606,240
12.0,2.0,1682594210.5036118,607,243
12.0,2.0,1682594210.746645,610,245
12.0,2.0,1682594210.9896781,615,253
12.0,2.0,1682594211.2327113,620,257
12.0,2.0,1682594211.4757447,635,277
12.0,2.0,1682594211.718778,639,280
12.0,2.0,1682594211.961811,679,330
12.0,2.0,1682594212.2048442,685,335
12.0,2.0,1682594212.4478776,689,340
12.0,2.0,1682594212.6909108,692,346
12.0,2.0,1682594212.933944,697,352
12.0,2.0,1682594213.1769772,700,358
12.0,2.0,1682594213.4200106,747,410
12.0,2.0,1682594213.6630437,751,419
12.0,2.0,1682594213.906077,772,442
12.0,2.0,1682594214.14911,777,451
12.0,2.0,1682594214.3921435,844,530
12.0,2.0,1682594214.6351767,850,543
12.0,2.0,1682594214.8782098,967,600
12.0,2.0,1682594215.121243,977,608
